2019-08-09 05:15:52,079 p=1 u=root |  ERROR! the playbook: init.yaml could not be found
2019-08-09 05:26:00,965 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:01,044 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:01,295 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, no checksum validation] ****************************
2019-08-09 05:26:01,508 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:26:01,649 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:01,705 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:01,952 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from url] **********************
2019-08-09 05:26:04,134 p=1 u=root |  changed: [10.1.10.12 -> localhost]
2019-08-09 05:26:04,463 p=1 u=root |  ok: [10.1.10.13 -> localhost]
2019-08-09 05:26:04,617 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:26:04,910 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from variable] *****************
2019-08-09 05:26:05,187 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:26:05,419 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:05,484 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:05,619 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check the RPM file is downloaded and present] *********************************************
2019-08-09 05:26:06,734 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:26:06,793 p=1 u=root |  ok: [10.1.10.13 -> localhost]
2019-08-09 05:26:06,837 p=1 u=root |  ok: [10.1.10.12 -> localhost]
2019-08-09 05:26:07,108 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package After Download] *******************************************************
2019-08-09 05:26:10,569 p=1 u=root |  ok: [10.1.10.13 -> localhost]
2019-08-09 05:26:11,512 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:26:11,529 p=1 u=root |  ok: [10.1.10.12 -> localhost]
2019-08-09 05:26:11,784 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package on the BIG-IP] ********************************************************
2019-08-09 05:26:12,090 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:26:12,312 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:12,372 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:12,601 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Remove RPM Package from the BIG-IP] *******************************************************
2019-08-09 05:26:12,889 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:26:13,010 p=1 u=root |  skipping: [10.1.10.12]
2019-08-09 05:26:13,044 p=1 u=root |  skipping: [10.1.10.13]
2019-08-09 05:26:13,062 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:26:13,063 p=1 u=root |  10.1.10.11                 : ok=7    changed=1    unreachable=0    failed=0    skipped=7    rescued=0    ignored=0   
2019-08-09 05:26:13,063 p=1 u=root |  10.1.10.12                 : ok=7    changed=2    unreachable=0    failed=0    skipped=7    rescued=0    ignored=0   
2019-08-09 05:26:13,064 p=1 u=root |  10.1.10.13                 : ok=7    changed=1    unreachable=0    failed=0    skipped=7    rescued=0    ignored=0   
2019-08-09 05:26:55,524 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:26:55,567 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:26:59,886 p=1 u=root |   [WARNING]: Unhandled error in Python interpreter discovery for host 10.1.10.31: Failed to connect to the host via ssh: ssh: connect
to host 10.1.10.31 port 22: Host is unreachable

2019-08-09 05:27:01,982 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:27:02,884 p=1 u=root |  fatal: [10.1.10.31]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"10.1.10.31\". Make sure this host can be reached over ssh: ssh: connect to host 10.1.10.31 port 22: Host is unreachable\r\n", "unreachable": true}
2019-08-09 05:27:04,034 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:27:04,176 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:27:09,012 p=1 u=root |  ok: [10.1.10.33]
2019-08-09 05:27:09,014 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
2019-08-09 05:27:09,023 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:27:09,024 p=1 u=root |  10.1.10.11                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:09,024 p=1 u=root |  10.1.10.12                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:09,025 p=1 u=root |  10.1.10.13                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:09,025 p=1 u=root |  10.1.10.31                 : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:09,026 p=1 u=root |  10.1.10.33                 : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-08-09 05:27:40,142 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:27:40,175 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:27:48,213 p=1 u=root |  ok: [10.1.10.13]
2019-08-09 05:27:48,390 p=1 u=root |  ok: [10.1.10.12]
2019-08-09 05:27:48,775 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:27:51,425 p=1 u=root |   [WARNING]: Unhandled error in Python interpreter discovery for host 10.1.10.31: Failed to connect to the host via ssh: ssh: connect
to host 10.1.10.31 port 22: Host is unreachable

2019-08-09 05:27:51,826 p=1 u=root |  ok: [10.1.10.21]
2019-08-09 05:27:54,511 p=1 u=root |  fatal: [10.1.10.31]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"10.1.10.31\". Make sure this host can be reached over ssh: ssh: connect to host 10.1.10.31 port 22: Host is unreachable\r\n", "unreachable": true}
2019-08-09 05:27:54,971 p=1 u=root |  ok: [10.1.10.22]
2019-08-09 05:27:56,114 p=1 u=root |  ok: [10.1.10.23]
2019-08-09 05:27:58,207 p=1 u=root |  ok: [10.1.10.33]
2019-08-09 05:27:58,210 p=1 u=root |  NO MORE HOSTS LEFT ********************************************************************************************************************
